no_sekolah,nama_sekolah,jenjang,jumlah_siswa,kecamatan_sekolah,lat_sekolah,lng_sekolah,sppg_pelayan,lat_sppg,lng_sppg,jarak_lurus_km
31,Sd Negeri Kendang Sari Iv Nomor 279,SD,445,RUNGKUT,-7.323502,112.765009,SPPG Kota Surabaya Rungkut Penjaringansari 3,-7.3223,112.7822,1.901
38,Sd Negeri Wonorejo Nomor 274,SD,443,RUNGKUT,-7.3113677,112.7968442,SPPG Kota Surabaya Rungkut Penjaringansari 4,-7.319335511136,112.783792498932,1.69
30,Sd Negeri Kendang Sari Iii,SD,437,RUNGKUT,-7.3187182,112.763671,SPPG Kota Surabaya Rungkut Penjaringansari 3,-7.3223,112.7822,2.082
27,Sd Negeri Kalirungkut I No. 264,SD,436,RUNGKUT,-7.3221935,112.7703674,SPPG Kota Surabaya Rungkut,-7.3223,112.7822,1.305
34,Sd Negeri Penjaringan I / 271,SD,434,RUNGKUT,-7.3151706,112.7838036,SPPG Kota Surabaya Rungkut Kedung Baruk,-7.3201097,112.7792538,0.744
37,Sd Negeri Rungkut Kidul Ii - 581,SD,434,RUNGKUT,-7.3280981,112.7780877,SPPG Kota Surabaya Rungkut Kalirungkut 2,-7.324187880067,112.779434766983,0.459
35,Sd Negeri Penjaringan Sari Ii,SD,426,RUNGKUT,-7.3190313,112.7866784,SPPG Kota Surabaya Rungkut Penjaringansari,-7.322549008449,112.789185015852,0.479
28,Sd Negeri Kalirungkut Iv,SD,413,RUNGKUT,-7.3262744,112.7784362,SPPG Kota Surabaya Rungkut Kalirungkut,-7.324757330693,112.773091979959,0.613
32,Sd Negeri Medokan Ayu I,SD,410,RUNGKUT,-7.3295115,112.7948318,SPPG Kota Surabaya Rungkut Medokan Ayu 2,-7.327093299165,112.792632576447,0.362
29,Sd Negeri Kedung Baruk I / 275,SD,407,RUNGKUT,-7.3121226,112.7759586,SPPG Kota Surabaya Rungkut Rungkut Kidul,-7.327642020456,112.772012004988,1.78
36,Sd Negeri Rungkut Kidul I/267,SD,406,RUNGKUT,-7.3300049,112.7709265,SPPG Kota Surabaya Rungkut Medokan Ayu,-7.319832846885,112.794419568801,2.827
60,Smk Negeri 10 Surabaya,SMA/SMK,1140,SUKOLILO,-7.2933984,112.800167,SPPG Kota Surabaya Sukolilo Medokan Semampir,-7.304322979089,112.793195672703,1.438
59,Sma Negeri 20 Surabaya,SMA/SMK,1109,SUKOLILO,-7.3071326,112.7892382,SPPG Kota Surabaya Sukolilo Nginden Jangkungan 2,-7.305555862695,112.772618832255,1.841
58,Smp Negeri 30 Surabaya,SMP,1077,SUKOLILO,-7.3070097,112.7902185,SPPG Kota Surabaya Sukolilo Semolowaru,-7.297155257795,112.775514396032,1.957
57,Mts Negeri 1 Surabaya,SMP,1066,SUKOLILO,-7.3080955,112.7863865,SPPG Kota Surabaya Sukolilo Nginden Jangkungan,-7.3033426,112.7664091,2.266
49,Sd Negeri Manyar Sabrangan 3,SD,449,SUKOLILO,-7.2849156,112.7739343,SPPG Kota Surabaya Sukolilo Klampis Ngasem 2,-7.289840993243,112.775878624869,0.588
56,Sdn Semolowaru 2/262,SD,447,SUKOLILO,-7.3003136,112.7795773,SPPG Kota Surabaya Sukolilo Klampis Ngasem,-7.290615382274,112.774984814588,1.191
50,Sd Negeri Medokan Semampir 1,SD,432,SUKOLILO,-7.3049728,112.7822079,SPPG Kota Surabaya Sukolilo Menur Pumpungan,-7.297736689121,112.768613897622,1.702
48,Sd Negeri Klampis Ngasem 5,SD,430,SUKOLILO,-7.2851985,112.7737939,SPPG Kota Surabaya Sukolilo Klampis Ngasem 2,-7.289840993243,112.775878624869,0.565
54,Sd Negeri Nginden Jangkungan 2 No 611,SD,428,SUKOLILO,-7.3023832,112.7694342,SPPG Kota Surabaya Sukolilo Menur Pumpungan,-7.297736689121,112.768613897622,0.525
52,Sd Negeri Menur Pumpungan 4,SD,423,SUKOLILO,-7.2993116,112.7648496,SPPG Kota Surabaya Sukolilo Klampis Ngasem,-7.290615382274,112.774984814588,1.478
55,Sd Negeri Semolowaru 4/614,SD,420,SUKOLILO,-7.3037702,112.7756995,SPPG Kota Surabaya Sukolilo Nginden Jangkungan 2,-7.305555862695,112.772618832255,0.394
53,Sd Negeri Menur Pumpungan V,SD,414,SUKOLILO,-7.2971207,112.7644104,SPPG Kota Surabaya Sukolilo Nginden Jangkungan,-7.3033426,112.7664091,0.726
51,Sd Negeri Menur Pumpungan,SD,413,SUKOLILO,-7.2885451,112.7659991,SPPG Kota Surabaya Sukolilo Semolowaru,-7.297155257795,112.775514396032,1.421
47,Sd Negeri Klampis Ngasem 3,SD,408,SUKOLILO,-7.2810928,112.7714031,SPPG Kota Surabaya Sukolilo Medokan Semampir,-7.304322979089,112.793195672703,3.528
46,Sd Negeri Keputih 245,SD,403,SUKOLILO,-7.289573,112.7848946,SPPG Kota Surabaya Sukolilo Klampis Ngasem 2,-7.289840993243,112.775878624869,0.995
76,Smp Negeri 9 Surabaya,SMP,1040,TAMBAKSARI,-7.2500157,112.7653516,SPPG Kota Surabaya Tambaksari Pacarkembang,-7.257147993547,112.764616987093,0.797
62,Sd Negeri Gading Iii,SD,450,TAMBAKSARI,-7.2479587,112.7789512,SPPG Kota Surabaya Tambaksari Gading 2,-7.246559386722,112.774114689219,0.556
