no,osm_id,nama_sekolah,jenjang,jumlah_siswa,kecamatan,alamat,kota,lat,lng
33,468597515,Sd Negeri Medokan Ayu Ii,SD,447,RUNGKUT,"Jalan Medokan Asri Barat 8 18, Rungkut, Jawa Timur 60295, Idn",Surabaya,-7.3280093,112.7911258
34,461337000,Sd Negeri Penjaringan I / 271,SD,434,RUNGKUT,"Jalan Kendal Sari Selatan 16, Rungkut, Jawa Timur 60297, Idn",Surabaya,-7.3151706,112.7838036
35,461336998,Sd Negeri Penjaringan Sari Ii,SD,426,RUNGKUT,"Jalan Pandugo Baru 6 3, Rungkut, Jawa Timur 60297, Idn",Surabaya,-7.3190313,112.7866784
36,311411556,Sd Negeri Rungkut Kidul I/267,SD,406,RUNGKUT,"Jalan Rungkut Kidul Gang 4, Rungkut, Jawa Timur 60293, Idn",Surabaya,-7.3300049,112.7709265
37,469321823,Sd Negeri Rungkut Kidul Ii - 581,SD,434,RUNGKUT,"Jalan Rungkut Asri Tengah 11 27, Rungkut, Jawa Timur 60293, Idn",Surabaya,-7.3280981,112.7780877
38,465067582,Sd Negeri Wonorejo Nomor 274,SD,443,RUNGKUT,"Jalan Wonorejo Rungkut, Rungkut, Jawa Timur 60296, Idn",Surabaya,-7.3113677,112.7968442
39,468592626,Madrasah Tsanawiyah Negeri 3 Kota Surabaya,SMP,1070,RUNGKUT,"Jalan Medokan Ayu, Rungkut, Jawa Timur 60295, Idn",Surabaya,-7.3251369,112.796495
40,4631071198,Madrasah Tsanawiyah Negeri 3 Surabaya,SMP,1081,RUNGKUT,"Jalan Mendokan Asri Tengah, Rungkut, Jawa Timur 60295, Idn",Surabaya,-7.3247345,112.7961373
41,450316616,Smp Negeri 23 Surabaya,SMP,1014,RUNGKUT,"Jalan Kedung Baruk Barat, Rungkut, Jawa Timur 60298, Idn",Surabaya,-7.3199654,112.7775606
42,311395473,Smp Negeri 35,SMP,1094,RUNGKUT,"Jalan Rungkut Asri Barat 8 2, Rungkut, Jawa Timur 60293, Idn",Surabaya,-7.3274602,112.7728435
43,465066919,Ma Negeri Surabaya,SMA/SMK,1193,RUNGKUT,"Jalan Wonorejo Timur, Rungkut, Jawa Timur 60296, Idn",Surabaya,-7.3090269,112.7984608
44,467117565,Sma Negeri 14 Surabaya,SMA/SMK,1115,RUNGKUT,"Jalan Tenggilis Mejoyo, Rungkut, Jawa Timur 60293, Idn",Surabaya,-7.3152241,112.7656165
45,185396218,Sma Negeri 17,SMA/SMK,1118,RUNGKUT,"Jalan Rungkut Asri Barat 1 56, Rungkut, Jawa Timur 60293, Idn",Surabaya,-7.3275132,112.7749979
46,465318724,Sd Negeri Keputih 245,SD,403,SUKOLILO,"Jalan Arief Rachman Hakim 14A, Sukolilo, Jawa Timur 60111, Idn",Surabaya,-7.289573,112.7848946
47,449316569,Sd Negeri Klampis Ngasem 3,SD,408,SUKOLILO,"Jalan Manyar Kertoarjo 3, Sukolilo, Jawa Timur 60117, Idn",Surabaya,-7.2810928,112.7714031
48,449316572,Sd Negeri Klampis Ngasem 5,SD,430,SUKOLILO,"Jalan Manyar Tirtoyoso Selatan 1 1, Sukolilo, Jawa Timur 60117, Idn",Surabaya,-7.2851985,112.7737939
49,449316568,Sd Negeri Manyar Sabrangan 3,SD,449,SUKOLILO,"Sd Negeri Manyar Sabrangan, Sukolilo, Jawa Timur, 60117, Idn",Surabaya,-7.2849156,112.7739343
50,4478422246,Sd Negeri Medokan Semampir 1,SD,432,SUKOLILO,"Jalan Semampir Utara, Sukolilo, Jawa Timur 60119, Idn",Surabaya,-7.3049728,112.7822079
51,449826523,Sd Negeri Menur Pumpungan,SD,413,SUKOLILO,"Jalan Manyar Kartika 8 2, Sukolilo, Jawa Timur 60118, Idn",Surabaya,-7.2885451,112.7659991
52,449826522,Sd Negeri Menur Pumpungan 4,SD,423,SUKOLILO,"Jalan Nginden Semolo 30, Sukolilo, Jawa Timur 60118, Idn",Surabaya,-7.2993116,112.7648496
53,449826526,Sd Negeri Menur Pumpungan V,SD,414,SUKOLILO,"Jalan Manyar Rejo 1 34, Sukolilo, Jawa Timur 60118, Idn",Surabaya,-7.2971207,112.7644104
54,474343585,Sd Negeri Nginden Jangkungan 2 No 611,SD,428,SUKOLILO,"Jalan Nginden Baru 6 26, Sukolilo, Jawa Timur 60118, Idn",Surabaya,-7.3023832,112.7694342
55,474304786,Sd Negeri Semolowaru 4/614,SD,420,SUKOLILO,"Jalan Semolowaru Tengah 12 7, Sukolilo, Jawa Timur 60119, Idn",Surabaya,-7.3037702,112.7756995
56,448269767,Sdn Semolowaru 2/262,SD,447,SUKOLILO,"Jalan Semolowaru Utara, Sukolilo, Jawa Timur 60119, Idn",Surabaya,-7.3003136,112.7795773
57,450968408,Mts Negeri 1 Surabaya,SMP,1066,SUKOLILO,"Jalan Medokan Semampir Indah, Sukolilo, Jawa Timur 60119, Idn",Surabaya,-7.3080955,112.7863865
58,450968410,Smp Negeri 30 Surabaya,SMP,1077,SUKOLILO,"Jalan Medokan Semampir Indah, Sukolilo, Jawa Timur 60119, Idn",Surabaya,-7.3070097,112.7902185
59,450968411,Sma Negeri 20 Surabaya,SMA/SMK,1109,SUKOLILO,"Jalan Medokan Semampir Indah, Sukolilo, Jawa Timur 60119, Idn",Surabaya,-7.3071326,112.7892382
60,450315802,Smk Negeri 10 Surabaya,SMA/SMK,1140,SUKOLILO,"Jalan Smea Negeri 3, Sukolilo, Jawa Timur 60111, Idn",Surabaya,-7.2933984,112.800167
61,449512565,Sd Negeri Gading 1,SD,400,TAMBAKSARI,"Jalan Gading Sekolahan 1 393, Tambaksari, Jawa Timur 60134, Idn",Surabaya,-7.2451932,112.7695033
62,449512553,Sd Negeri Gading Iii,SD,450,TAMBAKSARI,"Jalan Lebak Rejo 179, Tambaksari, Jawa Timur 60134, Idn",Surabaya,-7.2479587,112.7789512
63,448233095,Sd Negeri Gading Iv,SD,411,TAMBAKSARI,"Jalan Gading Karya 1 35J, Tambaksari, Jawa Timur 60134, Idn",Surabaya,-7.2422649,112.7711971
64,448102467,Sd Negeri Gading V & Viii,SD,412,TAMBAKSARI,"Jalan Kapas Baru 4 14, Tambaksari, Jawa Timur 60137, Idn",Surabaya,-7.2406834,112.7627247
65,449842366,Sd Negeri Gading Vii & Ix,SD,426,TAMBAKSARI,"Jalan Kapas Lor Wetan 6 11, Tambaksari, Jawa Timur 60137, Idn",Surabaya,-7.2424409,112.765306
66,449624591,Sd Negeri Pacar Keling 1,SD,415,TAMBAKSARI,"Jalan Tambang Boyo 156, Tambaksari, Jawa Timur 60132, Idn",Surabaya,-7.2588341,112.7604435
67,449624592,Sd Negeri Pacar Keling 5-6-7-8,SD,406,TAMBAKSARI,"Jalan Mendut 1, Tambaksari, Jawa Timur 60131, Idn",Surabaya,-7.258024,112.7550497
68,449151865,Sd Negeri Pacarkembang,SD,438,TAMBAKSARI,"Jalan Bronggalan 36, Tambaksari, Jawa Timur 60132, Idn",Surabaya,-7.2562786,112.765432
69,450536490,Sd Negeri Ploso I,SD,410,TAMBAKSARI,"Jalan Ploso 6 15, Tambaksari, Jawa Timur 60133, Idn",Surabaya,-7.2518029,112.7636384
70,450536492,Sd Negeri Ploso Iii,SD,423,TAMBAKSARI,"Gang 10 2, Tambaksari, Jawa Timur 60133, Idn",Surabaya,-7.2514442,112.7709145
71,450536485,Sd Negeri Ploso V,SD,444,TAMBAKSARI,"Jalan Karang Asem 11 2, Tambaksari, Jawa Timur 60133, Idn",Surabaya,-7.251375,112.7741626
